topic,confidence
Interim information,100%
Regulatory information,100%
Licensing Agreements,100%
Contests/Awards,100%
Law & Legal Issues,100%
Mergers and Acquisitions,100%
Initial Public Offerings,100%
Warrants and Certificates,100%
Dividend Reports and Estimates,100%
Business Contracts,100%
Research Analysis and Reports,83%
Product / Services Announcement,77%
Partnerships,71%
Health,63%
European Regulatory News,60%
Clinical Study,53%
Earnings Releases and Operating Results,52%
Calendar of Events,50%
Company Announcement,50%
Directors and Officers,50%
Patents,50%
Stock Market News,50%
Management statements,50%
Major shareholder announcements,33%
Advisory,25%
Trade Show,25%
Changes in company's own shares,25%
Financing Agreements,20%
Management Changes,0%
Trading information,0%
Annual report,0%
Prospectus/Announcement of Prospectus,0%
Exchange Members,0%
Pre-Release Comments,0%
Changes in share capital and votes,0%
